index,element,expands_into,sequence,dest_seq,length
1,H,H,22,22,2
2,He,Hf|Pa|H|Ca|Li,13112221133211322112211213322112,11132132212312211322212221121123222112,32
3,Li,He,312211322212221121123222112,13112221133211322112211213322112,27
4,Be,Ge|Ca|Li,111312211312113221133211322112211213322112,3113112221131112211322212312211322212221121123222112,42
5,B,Be,1321132122211322212221121123222112,111312211312113221133211322112211213322112,34
6,C,B,3113112211322112211213322112,1321132122211322212221121123222112,28
7,N,C,111312212221121123222112,3113112211322112211213322112,24
8,O,N,132112211213322112,111312212221121123222112,18
9,F,O,31121123222112,132112211213322112,14
10,Ne,F,111213322112,31121123222112,12
11,Na,Ne,123222112,111213322112,9
12,Mg,Pm|Na,3113322112,132123222112,10
13,Al,Mg,1113222112,3113322112,10
14,Si,Al,1322112,1113222112,7
15,P,Ho|Si,311311222112,13211321322112,12
16,S,P,1113122112,311311222112,10
17,Cl,S,132112,1113122112,6
18,Ar,Cl,3112,132112,4
19,K,Ar,1112,3112,4
20,Ca,K,12,1112,2
21,Sc,Ho|Pa|H|Ca|Co,3113112221133112,132113213221232112,16
22,Ti,Sc,11131221131112,3113112221133112,14
23,V,Ti,13211312,11131221131112,8
24,Cr,V,31132,13211312,5
25,Mn,Cr|Si,111311222112,311321322112,12
26,Fe,Mn,13122112,111311222112,8
27,Co,Fe,32112,13122112,5
28,Ni,Zn|Co,11133112,31232112,8
29,Cu,Ni,131112,11133112,6
30,Zn,Cu,312,131112,3
31,Ga,Eu|Ca|Ac|H|Ca|Zn,13221133122211332,11132221231132212312,17
32,Ge,Ho|Ga,31131122211311122113222,132113213221133122211332,23
33,As,Ge|Na,11131221131211322113322112,31131122211311122113222123222112,26
34,Se,As,13211321222113222112,11131221131211322113322112,20
35,Br,Se,3113112211322112,13211321222113222112,16
36,Kr,Br,11131221222112,3113112211322112,14
37,Rb,Kr,1321122112,11131221222112,10
38,Sr,Rb,3112112,1321122112,7
39,Y,Sr|U,1112133,31121123,7
40,Zr,Y|H|Ca|Tc,12322211331222113112211,11121332212311322113212221,23
41,Nb,Er|Zr,1113122113322113111221131221,31131122212322211331222113112211,28
42,Mo,Nb,13211322211312113211,1113122113322113111221131221,20
43,Tc,Mo,311322113212221,13211322211312113211,15
44,Ru,Eu|Ca|Tc,132211331222113112211,111322212311322113212221,21
45,Rh,Ho|Ru,311311222113111221131221,1321132132211331222113112211,24
46,Pd,Rh,111312211312113211,311311222113111221131221,18
47,Ag,Pd,132113212221,111312211312113211,12
48,Cd,Ag,3113112211,132113212221,10
49,In,Cd,11131221,3113112211,8
50,Sn,In,13211,11131221,5
51,Sb,Pm|Sn,3112221,13213211,7
52,Te,Eu|Ca|Sb,1322113312211,1113222123112221,13
53,I,Ho|Te,311311222113111221,13211321322113312211,18
54,Xe,I,11131221131211,311311222113111221,14
55,Cs,Xe,13211321,11131221131211,8
56,Ba,Cs,311311,13211321,6
57,La,Ba,11131,311311,5
58,Ce,La|H|Ca|Co,1321133112,11131221232112,10
59,Pr,Ce,31131112,1321133112,8
60,Nd,Pr,111312,31131112,6
61,Pm,Nd,132,111312,3
62,Sm,Pm|Ca|Zn,311332,13212312,6
63,Eu,Sm,1113222,311332,7
64,Gd,Eu|Ca|Co,13221133112,11132221232112,11
65,Tb,Ho|Gd,3113112221131112,132113213221133112,16
66,Dy,Tb,111312211312,3113112221131112,12
67,Ho,Dy,1321132,111312211312,7
68,Er,Ho|Pm,311311222,1321132132,9
69,Tm,Er|Ca|Co,11131221133112,3113112221232112,14
70,Yb,Tm,1321131112,11131221133112,10
71,Lu,Yb,311312,1321131112,6
72,Hf,Lu,11132,311312,5
73,Ta,Hf|Pa|H|Ca|W,13112221133211322112211213322113,11132132212312211322212221121123222113,32
74,W,Ta,312211322212221121123222113,13112221133211322112211213322113,27
75,Re,Ge|Ca|W,111312211312113221133211322112211213322113,3113112221131112211322212312211322212221121123222113,42
76,Os,Re,1321132122211322212221121123222113,111312211312113221133211322112211213322113,34
77,Ir,Os,3113112211322112211213322113,1321132122211322212221121123222113,28
78,Pt,Ir,111312212221121123222113,3113112211322112211213322113,24
79,Au,Pt,132112211213322113,111312212221121123222113,18
80,Hg,Au,31121123222113,132112211213322113,14
81,Tl,Hg,111213322113,31121123222113,12
82,Pb,Tl,123222113,111213322113,9
83,Bi,Pm|Pb,3113322113,132123222113,10
84,Po,Bi,1113222113,3113322113,10
85,At,Po,1322113,1113222113,7
86,Rn,Ho|At,311311222113,13211321322113,12
87,Fr,Rn,1113122113,311311222113,10
88,Ra,Fr,132113,1113122113,6
89,Ac,Ra,3113,132113,4
90,Th,Ac,1113,3113,4
91,Pa,Th,13,1113,2
92,U,Pa,3,13,1
